state,district,total_days,total_enrolments,total_updates,total_activity,avg_daily_enrolments,avg_daily_updates,avg_daily_activity,eur_mean,eur_std,stability_score,capacity_gap,daily_gap,operators_needed,stress_percentile,window_days,window_class,recommendation,reason
Andaman and Nicobar Islands,Andamans,98,73,2490,2563,0.16666666666666666,5.684931506849315,5.851598173515982,47.99392299811678,243.87753082500404,5.08131934776879,-2417,-24.663265306122447,0,9.27734375,98,mid_term,Monitor / No Action,Within acceptable range (stress=9.3%)
Andaman and Nicobar Islands,Nicobar,89,74,2255,2329,0.33636363636363636,10.25,10.586363636363636,36.40936294461894,250.19046676803657,6.871408207289294,-2181,-24.50561797752809,0,6.54296875,89,mid_term,Monitor / No Action,Within acceptable range (stress=6.5%)
Andaman and Nicobar Islands,Nicobars,6,1,5,6,0.16666666666666666,0.8333333333333334,1.0,166.66666666666666,408.24829046386304,2.449475045932903,-4,-0.6666666666666666,0,48.046875,6,short_term,Monitor / No Action,Within acceptable range (stress=48.0%)
Andaman and Nicobar Islands,North And Middle Andaman,98,129,7428,7557,0.27741935483870966,15.974193548387097,16.251612903225805,68.86856817164974,340.4946282308254,4.9440505766230505,-7299,-74.4795918367347,0,16.89453125,98,mid_term,Monitor / No Action,Within acceptable range (stress=16.9%)
Andaman and Nicobar Islands,South Andaman,99,223,13032,13255,0.2635933806146572,15.404255319148936,15.667848699763594,43.77981385986844,269.51308065100716,6.1559632379985425,-12809,-129.3838383838384,0,8.30078125,99,mid_term,Monitor / No Action,Within acceptable range (stress=8.3%)
Andhra Pradesh,Adilabad,104,1395,72665,74060,0.36585365853658536,19.057172829792815,19.4230264883294,43.31156570339744,289.66424714691544,6.687764680820886,-71270,-685.2884615384615,0,8.10546875,104,mid_term,Monitor / No Action,Within acceptable range (stress=8.1%)
Andhra Pradesh,Alluri Sitharama Raju,103,1214,28028,29242,0.4840510366826156,11.175438596491228,11.659489633173843,89.40915955995182,396.4095418460336,4.43360736405163,-26814,-260.33009708737865,0,24.609375,103,mid_term,Monitor / No Action,Within acceptable range (stress=24.6%)
Andhra Pradesh,Anakapalli,103,524,16088,16612,0.20373250388802489,6.255054432348367,6.458786936236392,49.441352923389104,243.71769075138667,4.92933034819413,-15564,-151.10679611650485,0,9.86328125,103,mid_term,Monitor / No Action,Within acceptable range (stress=9.9%)
Andhra Pradesh,Anantapur,105,4311,139985,144296,0.5445932289034866,17.683804951995956,18.228398180899443,61.0897141826685,344.51909207058014,5.639467416282401,-135674,-1292.1333333333334,0,13.57421875,105,mid_term,Monitor / No Action,Within acceptable range (stress=13.6%)
Andhra Pradesh,Ananthapur,105,1937,104182,106119,0.27834458973990517,14.97082914211812,15.249173731858026,51.21844676174448,274.88131222598093,5.366737237608905,-102245,-973.7619047619048,0,10.546875,105,mid_term,Monitor / No Action,Within acceptable range (stress=10.5%)
Andhra Pradesh,Ananthapuramu,104,3094,144947,148041,0.42882882882882883,20.08967428967429,20.51850311850312,74.23743368471449,379.55027167337164,5.11258458503173,-141853,-1363.9711538461538,0,18.75,104,mid_term,Monitor / No Action,Within acceptable range (stress=18.8%)
Andhra Pradesh,Annamayya,101,995,33089,34084,0.31901250400769476,10.608848990060917,10.927861494068612,77.66572599172534,379.5555196550209,4.886977206885983,-32094,-317.76237623762376,0,20.1171875,101,mid_term,Monitor / No Action,Within acceptable range (stress=20.1%)
Andhra Pradesh,Bapatla,103,482,15249,15731,0.163778457356439,5.18144750254842,5.345225959904859,48.30198344940534,241.18298492738055,4.993128119715549,-14767,-143.36893203883494,0,9.5703125,103,mid_term,Monitor / No Action,Within acceptable range (stress=9.6%)
