state,district,avg_daily_enrolments,avg_daily_updates,daily_gap,operators_needed,stress_percentile,recommendation
Karnataka,Bengaluru Urban,237.8762886597938,0.0,5768.5,231,98.14453125,Mobile Aadhaar Van
West Bengal,Dinajpur Uttar,1061.0,0.0,3890.3333333333335,156,99.90234375,Mobile Aadhaar Van
Bihar,Purbi Champaran,619.625,0.0,3717.75,149,99.51171875,Mobile Aadhaar Van
West Bengal,24 Paraganas North,198.29032258064515,0.0,3073.5,123,97.75390625,Mobile Aadhaar Van
Uttar Pradesh,Siddharth Nagar,723.5,0.0,2170.5,87,99.70703125,Mobile Aadhaar Van
Uttar Pradesh,Kushi Nagar,1570.0,0.0,1570.0,63,100.0,Mobile Aadhaar Van
Madhya Pradesh,Ashoknagar,602.2,0.0,1505.5,61,99.4140625,Mobile Aadhaar Van
Haryana,Nuh,753.0,0.0,1506.0,61,99.8046875,Mobile Aadhaar Van
West Bengal,Coochbehar,441.0,0.0,1470.0,59,99.0234375,Mobile Aadhaar Van
Jharkhand,East Singhbum,361.75,0.0,1447.0,58,98.73046875,Mobile Aadhaar Van
Uttar Pradesh,Shravasti,633.75,0.0,1267.5,51,99.609375,Mobile Aadhaar Van
West Bengal,Dinajpur Dakshin,498.5,0.0,997.0,40,99.31640625,Mobile Aadhaar Van
Haryana,Gurugram,376.57142857142856,0.0,878.6666666666666,36,98.828125,Mobile Aadhaar Van
Andhra Pradesh,Spsr Nellore,136.4375,0.0,727.6666666666666,30,97.4609375,Mobile Aadhaar Van
Chhattisgarh,Gaurella Pendra Marwahi,327.6666666666667,0.0,491.5,20,98.4375,Mobile Aadhaar Van
West Bengal,24 Paraganas South,490.0,0.0,490.0,20,99.21875,Mobile Aadhaar Van
Gujarat,Dang,218.0,0.0,436.0,18,97.94921875,Mobile Aadhaar Van
Odisha,Nabarangpur,442.0,0.0,442.0,18,99.12109375,Mobile Aadhaar Van
Jammu and Kashmir,Shopian,412.0,0.0,412.0,17,98.92578125,Mobile Aadhaar Van
Telangana,Medchal Malkajgiri,352.0,0.0,352.0,15,98.53515625,Mobile Aadhaar Van
Punjab,S.A.S Nagar,352.5,0.0,352.5,15,98.6328125,Mobile Aadhaar Van
Maharashtra,Ahmednagar,184.0,0.0,368.0,15,97.65625,Mobile Aadhaar Van
West Bengal,Medinipur West,322.5,0.0,322.5,13,98.33984375,Mobile Aadhaar Van
Telangana,Ranga Reddy,284.0,0.0,284.0,12,98.2421875,Mobile Aadhaar Van
Andhra Pradesh,Visakhapatanam,226.0,0.0,226.0,10,98.046875,Mobile Aadhaar Van
Assam,Sivasagar,105.5,0.0,211.0,9,97.36328125,Mobile Aadhaar Van
Karnataka,Ramanagara,204.0,0.0,204.0,9,97.8515625,Mobile Aadhaar Van
Bihar,Pashchim Champaran,36.59507829977628,2.5749440715883667,155.1734693877551,7,97.16796875,Extra Counters
Meghalaya,Kamrup,143.0,0.0,143.0,6,97.55859375,Mobile Aadhaar Van
Gujarat,Banas Kantha,34.154430379746834,2.3063291139240505,129.69072164948454,6,97.0703125,Extra Counters
Karnataka,Bengaluru Rural,58.125,1.4791666666666667,64.73809523809524,3,97.265625,Extra Counters
Gujarat,Surendranagar,2.545936395759717,2.136042402826855,2.577777777777778,1,95.99609375,Extra Counters
Tamil Nadu,Kanchipuram,20.36842105263158,0.7894736842105263,20.666666666666668,1,96.97265625,Extra Counters
Tamil Nadu,Namakkal   *,1.0,0.0,1.0,1,93.5546875,Mobile Aadhaar Van
Assam,Dima Hasao,1.355191256830601,1.273224043715847,0.18292682926829268,1,95.3125,Extra Counters
Gujarat,Sabar Kantha,4.296819787985866,1.96113074204947,14.21505376344086,1,96.484375,Extra Counters
Meghalaya,Eastern West Khasi Hills,9.191011235955056,2.4831460674157304,7.37037037037037,1,96.875,Extra Counters
Delhi,North East   *,2.0,0.0,2.0,1,95.8984375,Mobile Aadhaar Van
Haryana,Jhajjar *,1.0,0.0,1.0,1,93.5546875,Mobile Aadhaar Van
Meghalaya,South Garo Hills,11.678100263852242,10.538258575197888,4.363636363636363,1,96.19140625,Extra Counters
Meghalaya,West Jaintia Hills,34.35964912280702,32.82163742690059,5.0095238095238095,1,96.2890625,Extra Counters
Meghalaya,West Khasi Hills,69.92477876106194,59.13274336283186,22.794392523364486,1,96.77734375,Extra Counters
Odisha,Kendrapara *,1.0,0.0,1.0,1,93.5546875,Mobile Aadhaar Van
Gujarat,Panch Mahals,3.9971428571428573,1.7971428571428572,8.369565217391305,1,96.38671875,Extra Counters
Andhra Pradesh,Kadiri Road,0.0,1.0,-1.0,0,2.001953125,Monitor / No Action
Andhra Pradesh,Kakinada,0.3258741258741259,11.083916083916083,-295.84615384615387,0,13.8671875,Monitor / No Action
Andhra Pradesh,Karim Nagar,0.08690987124463519,2.65343347639485,-25.4468085106383,0,6.0546875,Monitor / No Action
Andhra Pradesh,Karimnagar,0.15633357646486748,5.902990517870168,-229.4757281553398,0,5.6640625,Monitor / No Action
